osmid,oneway,lanes,ref,highway,maxspeed,length,geometry,name,bridge,width,access,junction,tunnel,service,comprimento_m,comprimento_km
654696074,False,4,,primary,60,65.759,"LINESTRING (-4788372.107256372 -2610106.5500520407, -4788343.297772155 -2610103.4099943275, -4788328.36982844 -2610101.175722858, -4788315.979969114 -2610098.1926689907, -4788301.942581326 -2610094.1589047024)",Rua Doutor Alfredo Backer,,,,,,,71.423693348779,0.071423693348779
203187165,False,2,,tertiary,,22.429,"LINESTRING (-4788442.427778707 -2610103.566997199, -4788450.042031877 -2610126.7068214086)",Rua Maria Candido,,,,,,,24.36038414705535,0.02436038414705535
654696074,False,4,,primary,60,30.243,"LINESTRING (-4788442.427778707 -2610103.566997199, -4788475.267028491 -2610104.3157801447)",Rua Doutor Alfredo Backer,,,,,,,32.847785348242176,0.032847785348242176
654696074,False,4,,primary,60,64.827,"LINESTRING (-4788442.427778707 -2610103.566997199, -4788387.636325338 -2610106.694977796, -4788372.107256372 -2610106.5500520407)",Rua Doutor Alfredo Backer,,,,,,,70.4104123463309,0.0704104123463309
654696074,False,4,,primary,60,20.534,"LINESTRING (-4788576.333994182 -2610108.047618238, -4788554.092359922 -2610109.690110354)",Rua Doutor Alfredo Backer,,,,,,,22.302198880493837,0.022302198880493836
191858196,False,2,,residential,20,249.773,"LINESTRING (-4788576.333994182 -2610108.047618238, -4788529.012078647 -2609975.1512262374, -4788480.755079386 -2609854.212095024)",Travessa Ideal,,,,,,,271.28165792846073,0.2712816579284607
654696074,False,4,,primary,60,49.285,"LINESTRING (-4788576.333994182 -2610108.047618238, -4788588.734985457 -2610104.3157801447, -4788600.968997494 -2610099.678157286, -4788613.35885682 -2610092.66133977, -4788624.11231963 -2610084.9078202816)",Rua Doutor Alfredo Backer,,,,,,,53.52991740757185,0.053529917407571855
654696074,False,4,,primary,60,24.708,"LINESTRING (-4788660.090779055 -2610056.2367379125, -4788680.529037565 -2610038.8457097756)",Rua Doutor Alfredo Backer,,,,,,,26.835988347460486,0.026835988347460486
654696074,False,4,,primary,60,42.357,"LINESTRING (-4788660.090779055 -2610056.2367379125, -4788624.11231963 -2610084.9078202816)",Rua Doutor Alfredo Backer,,,,,,,46.005222603839194,0.04600522260383919
191858205,False,,,residential,,113.35499999999999,"LINESTRING (-4788660.090779055 -2610056.2367379125, -4788619.781991438 -2609968.5813125037, -4788608.171368549 -2609944.608395865)",Rua Professora Adélia Martins,,,,,,,123.11596436559954,0.12311596436559955
